stage	measurement	size_mm
II	cdd_live	1.036
II	cdd_live	1.452
IV	cdd_live	3.808
IV	cdd_live	4.143
III	cdd_live	2.237
III	cdd_live	2.726
IV	cdd_live	4.417
IV	cdd_live	5.119
IV	cdd_live	5.378
IV	cdd_live	3.412
IV	cdd_live	5.85
IV	cdd_live	4.851
IV	cdd_live	4.976
IV	cdd_live	4.212
IV	cdd_live	4.686
II	cdd_live	1.396
III	cdd_live	1.319
III	cdd_live	1.342
IV	cdd_live	3.041
III	cdd_live	1.272
II	cdd_live	1.08
II	cdd_live	1.116
I	cdd_live	1.115
II	cdd_live	1.083
III	cdd_live	1.415
III	cdd_live	1.629
III	cdd_live	2.73
II	cdd_live	1.201
III	cdd_live	2.09
II	cdd_live	1.421
III	cdd_live	1.692
III	cdd_live	1.61
II	cdd_live	1.624
I	cdd_live	0.83
II	cdd_live	1.001
I	cdd_live	0.689
I	cdd_live	0.843
III	cdd_live	1.675
I	cdd_live	0.641
III	cdd_live	1.761
III	cdd_live	3.329
I	cdd_live	0.616
I	cdd_live	0.576
III	cdd_live	1.721
IV	cdd_live	3.783
IV	cdd_live	2.995
IV	cdd_live	3.506
IV	cdd_live	5.115
III	cdd_live	1.924
IV	cdd_live	3.519
IV	cdd_live	4.198
III	cdd_live	1.604
II	cdd_live	1.287
II	cdd_live	0.882
II	cdd_live	1.09
III	cdd_live	1.227
III	cdd_live	1.807
II	cdd_live	1.197
I	cdd_live	0.631
I	cdd_live	0.976
II	cdd_live	1.112
I	cdd_live	0.921
I	cdd_live	1.243
I	cdd_live	1.134
III	cdd_live	1.532
II	cdd_live	1.315
II	cdd_live	1.1
I	cdd_live	0.897
II	cdd_live	0.947
I	cdd_live	0.938
IV	cdd_live	3.894
I	cdd_live	0.737
I	cdd_live	0.597
I	cdd_live	0.533
IV	cdd_live	3.814
III	cdd_live	3.517
I	cdd_live	0.735
III	cdd_live	2.989
I	cdd_live	0.86
II	cdd_live	1.029
I	cdd_live	0.783
III	cdd_live	1.701
III	cdd_live	2.086
II	cdd_live	0.925
II	cdd_live	1.208
IV	cdd_live	4.931
IV	cdd_live	4.375
IV	cdd_live	5.281
III	cdd_live	1.928
IV	cdd_live	2.784
III	cdd_live	1.821
III	cdd_live	1.656
III	cdd_live	1.631
IV	cdd_live	4.2
III	cdd_live	2.604
IV	cdd_live	3.321
IV	cdd_live	4.635
III	cdd_live	2.266
III	cdd_live	1.919
IV	cdd_live	3.065
III	cdd_live	1.83
IV	cdd_live	3.302
IV	cdd_live	4.172
III	cdd_live	3.184
III	cdd_live	2.301
IV	cdd_live	4.941
IV	cdd_live	2.984
IV	cdd_live	4.538
I	tbd_live	1.289
I	tbd_live	1.309
I	tbd_live	1.338
I	tbd_live	1.467
I	tbd_live	1.513
I	tbd_live	1.621
I	tbd_live	1.631
I	tbd_live	1.724
I	tbd_live	1.765
I	tbd_live	2.137
I	tbd_live	3.052
II	tbd_live	1.683
II	tbd_live	1.836
II	tbd_live	1.936
II	tbd_live	1.949
II	tbd_live	2.021
II	tbd_live	2.046
II	tbd_live	2.181
II	tbd_live	2.523
II	tbd_live	2.668
II	tbd_live	3.166
II	tbd_live	3.926
III	tbd_live	2.99
III	tbd_live	3.232
III	tbd_live	2.197
III	tbd_live	2.375
III	tbd_live	2.383
III	tbd_live	2.486
III	tbd_live	2.592
III	tbd_live	2.718
III	tbd_live	3.264
III	tbd_live	3.674
III	tbd_live	4.197
III	tbd_live	4.424
III	tbd_live	4.456
IV	tbd_live	4.397
IV	tbd_live	4.552
IV	tbd_live	3.288
IV	tbd_live	3.819
IV	tbd_live	3.827
IV	tbd_live	4.419
IV	tbd_live	4.438
IV	tbd_live	5.855
IV	tbd_live	5.886
IV	tbd_live	6.233
IV	tbd_live	6.918
III	cdd_preserved	2.517
III	cdd_preserved	2.412
III	cdd_preserved	1.972
IV	cdd_preserved	2.756
III	cdd_preserved	1.82
III	cdd_preserved	2.452
III	cdd_preserved	2.305
III	cdd_preserved	2.216
III	cdd_preserved	2.355
IV	cdd_preserved	3.89
III	cdd_preserved	2.117
III	cdd_preserved	1.806
III	cdd_preserved	2.412
IV	cdd_preserved	3.298
III	cdd_preserved	2.324
III	cdd_preserved	2.271
III	cdd_preserved	2.503
III	cdd_preserved	1.749
III	cdd_preserved	2.333
III	cdd_preserved	1.916
III	cdd_preserved	1.894
III	cdd_preserved	2.047
III	cdd_preserved	2.375
III	cdd_preserved	1.865
III	cdd_preserved	1.883
III	cdd_preserved	1.933
III	cdd_preserved	2.167
III	cdd_preserved	1.681
II	cdd_preserved	1.519
IV	cdd_preserved	4.298
III	cdd_preserved	1.703
III	cdd_preserved	2.667
II	cdd_preserved	1.379
III	cdd_preserved	1.807
III	cdd_preserved	2.2
III	cdd_preserved	1.869
III	cdd_preserved	2.199
III	cdd_preserved	1.661
III	cdd_preserved	1.619
III	cdd_preserved	1.881
III	cdd_preserved	1.646
III	cdd_preserved	2.258
III	cdd_preserved	2.143
III	cdd_preserved	2.277
III	cdd_preserved	1.798
III	cdd_preserved	2.083
IV	cdd_preserved	3.252
III	cdd_preserved	2.418
III	cdd_preserved	2.025
III	cdd_preserved	1.849
III	cdd_preserved	1.756
III	cdd_preserved	2.128
III	cdd_preserved	1.595
III	cdd_preserved	2.631
III	cdd_preserved	1.452
III	cdd_preserved	1.728
III	cdd_preserved	1.844
III	cdd_preserved	2.663
III	cdd_preserved	2.224
III	cdd_preserved	2.26
III	cdd_preserved	1.924
III	cdd_preserved	1.746
III	cdd_preserved	1.605
III	cdd_preserved	2.749
III	cdd_preserved	1.99
II	cdd_preserved	1.263
II	cdd_preserved	1.298
II	cdd_preserved	1.15
II	cdd_preserved	1.257
I	cdd_preserved	0.809
II	cdd_preserved	1.239
II	cdd_preserved	1.288
III	cdd_preserved	1.297
II	cdd_preserved	1.233
II	cdd_preserved	1.15
III	cdd_preserved	1.223
III	cdd_preserved	1.904
III	cdd_preserved	2.382
II	cdd_preserved	1.121
III	cdd_preserved	2.009
III	cdd_preserved	1.637
II	cdd_preserved	1.354
II	cdd_preserved	1.105
II	cdd_preserved	1.087
II	cdd_preserved	1.465
III	cdd_preserved	1.606
III	cdd_preserved	1.257
II	cdd_preserved	1.175
II	cdd_preserved	1.327
III	cdd_preserved	1.15
II	cdd_preserved	1.046
II	cdd_preserved	1.204
II	cdd_preserved	1.167
II	cdd_preserved	1.002
II	cdd_preserved	1.224
III	cdd_preserved	1.452
I	cdd_preserved	0.945
III	cdd_preserved	1.482
III	cdd_preserved	1.734
II	cdd_preserved	1.207
II	cdd_preserved	1.16
II	cdd_preserved	1.263
II	cdd_preserved	1.227
II	cdd_preserved	1.144
II	cdd_preserved	1.289
II	cdd_preserved	1.052
II	cdd_preserved	1.28
II	cdd_preserved	1.168
II	cdd_preserved	1.198
I	cdd_preserved	0.964
II	cdd_preserved	1.404
