stage	cdd_fresh	cdd_preserved
II	1.036	0.739
II	1.452	0.908
IV	3.808	3.406
IV	4.143	3.12
III	2.237	1.567
III	2.726	2.187
IV	4.417	3.453
IV	5.119	3.962
IV	5.378	4.557
IV	3.412	2.648
IV	5.85	4.713
IV	4.851	3.771
IV	4.976	3.625
IV	4.212	3.299
IV	4.686	3.608
II	1.396	1.249
III	1.319	1.13
III	1.342	1.109
IV	3.041	2.069
III	1.272	1.112
II	1.08	0.902
II	1.116	0.661
I	1.115	0.936
II	1.083	0.909
III	1.415	1.256
III	1.629	1.005
III	2.73	1.974
II	1.201	0.975
III	2.09	1.565
II	1.421	1.035
III	1.692	1.102
III	1.61	1.084
II	1.624	1.233
I	0.83	0.698
II	1.001	0.471
I	0.689	0.511
I	0.843	0.374
III	1.675	1.391
I	0.641	0.478
III	1.761	1.14
III	3.329	2.197
I	0.616	0.398
I	0.576	0.523
III	1.721	1.425
IV	3.783	2.888
IV	2.995	1.838
IV	3.506	2.136
IV	5.115	3.671
III	1.924	1.595
IV	3.519	2.661
IV	4.198	3.303
III	1.604	1.184
II	1.287	0.962
II	0.882	0.528
II	1.09	0.782
III	1.227	0.801
III	1.807	1.259
II	1.197	0.668
I	0.631	0.608
I	0.976	0.895
II	1.112	1.033
I	0.921	0.822
I	1.243	0.977
I	1.134	0.755
III	1.532	0.85
II	1.315	0.966
II	1.1	1.023
I	0.897	0.637
II	0.947	0.857
I	0.938	0.69
IV	3.894	1.801
I	0.737	0.596
I	0.597	0.594
I	0.533	0.392
IV	3.814	2.213
III	3.517	1.542
I	0.735	0.654
III	2.989	1.053
I	0.86	0.537
II	1.029	1.007
I	0.783	0.475
III	1.701	1.326
III	2.086	1.621
II	0.925	0.761
II	1.208	0.673
IV	4.931	3.967
IV	4.375	3.028
IV	5.281	3.644
III	1.928	1.482
IV	2.784	2.567
III	1.821	1.572
III	1.656	1.557
III	1.631	1.544
IV	4.2	3.643
III	2.604	2.178
IV	3.321	2.555
IV	4.635	2.633
III	2.266	1.87
III	1.919	1.84
IV	3.065	2.624
III	1.83	1.597
IV	3.302	2.074
IV	4.172	3.339
III	3.184	2.905
III	2.301	1.943
IV	4.941	2.787
IV	2.984	2.193
IV	4.538	3.183
