year	stage	size_mm
2014	III	2.517
2014	III	2.412
2014	III	1.972
2014	IV	2.756
2014	III	1.82
2014	III	2.452
2014	III	2.305
2014	III	2.216
2014	III	2.355
2014	IV	3.89
2014	III	2.117
2014	III	1.806
2014	III	2.412
2014	IV	3.298
2014	III	2.324
2014	III	2.271
2014	III	2.503
2014	III	1.749
2014	III	2.333
2014	III	1.916
2014	III	1.894
2014	III	2.047
2014	III	2.375
2014	III	1.865
2014	III	1.883
2014	III	1.933
2014	III	2.167
2014	III	1.681
2014	II	1.519
2014	IV	4.298
2014	III	1.703
2014	III	2.667
2014	II	1.379
2014	III	1.807
2014	III	2.2
2014	III	1.869
2014	III	2.199
2014	III	1.661
2014	III	1.619
2014	III	1.881
2014	III	1.646
2014	III	2.258
2014	III	2.143
2014	III	2.277
2014	III	1.798
2014	III	2.083
2014	IV	3.252
2014	III	2.418
2014	III	2.025
2014	III	1.849
2014	III	1.756
2014	III	2.128
2014	III	1.595
2014	III	2.631
2014	III	1.452
2014	III	1.728
2014	III	1.844
2014	III	2.663
2014	III	2.224
2014	III	2.26
2014	III	1.924
2014	III	1.746
2014	III	1.605
2014	III	2.749
2014	III	1.99
2014	II	1.263
2014	II	1.298
2014	II	1.15
2014	II	1.257
2014	I	0.809
2014	II	1.239
2014	II	1.288
2014	III	1.297
2014	II	1.233
2014	II	1.15
2014	III	1.223
2014	III	1.904
2014	III	2.382
2014	II	1.121
2014	III	2.009
2014	III	1.637
2014	II	1.354
2014	II	1.105
2014	II	1.087
2014	II	1.465
2014	III	1.606
2014	III	1.257
2014	II	1.175
2014	II	1.327
2014	III	1.15
2014	II	1.046
2014	II	1.204
2014	II	1.167
2014	II	1.002
2014	II	1.224
2014	III	1.452
2014	I	0.945
2014	III	1.482
2014	III	1.734
2014	II	1.207
2014	II	1.16
2014	II	1.263
2014	II	1.227
2014	II	1.144
2014	II	1.289
2014	II	1.052
2014	II	1.28
2014	II	1.168
2014	II	1.198
2014	I	0.964
2014	II	1.404
2014	II	1.199
2014	II	1.049
2014	III	1.725
2014	III	1.492
2014	III	1.261
2014	II	1.147
2014	II	1.166
2014	III	1.629
2014	II	1.022
2014	II	1.039
2014	II	1.15
2014	II	1.179
2014	II	1.28
2014	II	1.151
2014	II	1.222
2014	II	1.016
2014	II	1.53
2014	III	1.676
2014	III	1.449
2014	III	1.635
2014	III	1.421
2014	III	1.478
2014	II	1.087
2014	II	1.132
2014	II	1.115
2014	II	1.229
2014	II	1.08
2014	I	0.726
2014	II	1.185
2014	II	1.235
2014	II	1.094
2014	III	1.478
2014	III	1.323
2014	III	1.706
2014	II	1.079
2014	III	1.67
2014	II	1.204
2014	II	1.223
2014	I	0.915
2014	II	1.099
2014	III	1.606
2014	III	1.486
2014	III	1.459
2014	II	1.044
2014	III	1.397
2014	II	1.051
2014	II	1.065
2014	II	1.054
2014	II	1.162
2014	II	1.104
2014	II	1.05
2014	II	1.205
2014	III	1.763
2014	III	1.555
2014	I	0.863
2014	II	1.139
2014	III	1.686
2014	III	1.608
2014	II	1.045
2014	III	1.556
2014	II	1.023
2014	II	1.134
2014	II	1.172
2014	II	1.028
2014	II	1.038
2014	II	1.249
2014	II	1.38
2014	II	1.015
2014	III	1.514
2014	III	1.325
2014	II	1.095
2014	III	1.636
2014	II	1.279
2014	II	1.073
2014	II	1.011
2014	I	0.871
2014	II	1.246
2014	II	1.281
2014	II	1.155
2014	III	1.385
2014	III	1.595
2014	III	1.586
2014	II	1.178
2014	II	1.212
2014	III	1.65
2014	III	1.666
2014	II	1.031
2014	III	1.418
2014	III	1.64
2014	II	1.083
2014	I	0.781
2014	II	1.182
2014	II	1.075
2014	III	1.91
2014	II	1.253
2014	II	1.103
2014	II	0.856
2014	II	1.034
2014	II	1.194
2014	III	1.504
2014	II	1.184
2014	II	1.312
2014	II	1.191
2014	II	1.168
2014	I	0.848
2014	III	2.006
2014	III	1.692
2014	IV	2.693
2014	IV	2.634
2014	III	1.861
2014	IV	3.07
2014	III	2.119
2014	III	2.071
2014	IV	2.634
2014	III	1.674
2014	III	2.055
2014	III	2.116
2014	III	1.784
2014	III	2.342
2014	III	1.895
2014	III	2.101
2014	III	1.64
2014	III	1.573
2014	III	1.936
2014	III	1.81
2014	III	1.891
2014	II	1.349
2014	IV	2.741
2014	III	2.142
2014	III	1.893
2014	III	1.843
2014	II	1.15
2014	III	1.649
2014	II	1.188
2014	III	2.113
2014	III	2.274
2014	IV	3.308
2014	IV	3.008
2014	III	1.809
2014	III	1.867
2014	III	1.986
2014	IV	3.13
2014	III	2.048
2014	III	1.806
2014	III	1.966
2014	III	2.263
2014	III	1.619
2014	III	2.041
2014	III	2.487
2014	III	2.501
2014	III	2.147
2014	III	1.897
2014	III	1.725
2014	III	1.898
2014	III	2.399
2014	III	1.634
2014	III	1.796
2014	III	2.015
2014	III	1.713
2014	III	1.976
2014	II	1.122
2014	III	2.4
2014	IV	4.037
2014	IV	3.854
2014	III	1.55
2014	III	2.122
2014	III	2.414
2014	III	2.378
2014	IV	3.263
2014	IV	3.513
2014	III	1.73
2014	III	2.293
2014	III	2.289
2014	III	1.953
2014	IV	3.249
2014	III	1.739
2014	II	1.121
2014	III	2.414
2014	III	2.303
2014	III	2.079
2014	III	1.908
2014	III	1.47
2014	III	1.75
2014	III	2.063
2014	III	2.281
2014	IV	3.201
2014	III	1.994
2014	IV	3.557
2014	III	1.829
2014	III	1.832
2014	IV	4.123
2014	III	2.584
2014	III	2.232
2014	II	1.092
2014	III	2.028
2014	II	1.023
2014	III	1.732
2014	III	2.186
2014	III	1.895
2014	III	1.854
2014	III	1.931
2014	I	0.798
2014	II	1.214
2014	II	1.195
2014	II	1.248
2014	I	0.95
2014	II	1.271
2014	II	1.207
2014	III	1.692
2014	III	2.109
2014	III	2.048
2014	III	2.048
2014	III	1.645
2014	III	2.088
2014	III	1.686
2014	III	2.225
2014	III	2.167
2014	III	1.967
2014	I	0.678
2014	II	1.02
2014	III	1.986
2014	II	1.109
2014	II	1.036
2014	III	1.793
2014	III	1.957
2014	III	1.937
2014	III	1.938
2014	III	1.568
2014	III	2.073
2014	III	1.674
2014	III	1.936
2014	II	1.099
2014	II	1.14
2014	II	1.155
2014	II	1.096
2014	III	2.022
2014	III	1.847
2014	II	1.217
2014	II	1.147
2014	I	0.983
2014	I	0.762
2014	II	1.379
2014	III	2.682
2014	III	2.041
2014	III	2.351
2014	III	1.951
2014	III	1.679
2014	III	2.033
2014	II	1.869
2014	II	1.222
2014	I	0.642
2014	III	2.106
2014	I	0.726
2014	II	1.137
2014	III	1.698
2014	III	1.888
2014	II	1.043
2014	III	2.016
2014	II	1.264
2014	II	1.164
2014	II	0.998
2014	III	1.78
2014	I	0.746
2014	III	1.684
2014	II	1.068
2014	II	1.137
2014	II	1.26
2014	III	1.569
2014	III	1.511
2014	II	1.048
2014	III	2.077
2014	III	2.125
2014	III	1.875
2014	III	1.605
2014	III	1.933
2014	III	1.983
2014	III	2.194
2014	III	2.171
2014	III	1.632
2014	III	1.905
2014	III	1.742
2014	III	1.933
2014	II	1.285
2014	II	1.237
2014	III	2.08
2014	III	2.371
2014	II	1.337
2014	III	1.703
2014	II	1.202
2014	II	1.121
2014	III	2.181
2014	II	1.021
2014	III	1.549
2014	III	1.826
2014	III	1.704
2014	III	1.753
2014	II	1.115
2014	I	0.787
2014	III	1.659
2014	II	1.219
2014	II	1.346
2014	III	2.156
2014	III	2.615
2014	III	2.159
2014	III	1.698
2014	II	0.98
2014	III	1.842
2014	II	1.311
2014	III	1.519
2014	III	1.789
2014	III	1.678
2014	III	1.478
2014	III	1.817
2014	III	2.109
2014	II	1.033
2014	II	1.263
2014	II	1.164
2014	II	1.273
2014	III	1.794
2014	III	1.56
2014	I	0.833
2014	III	1.599
2014	III	1.721
2014	II	1.224
2014	II	1.146
2014	II	1.2
2014	III	2.032
2014	III	2.122
2014	III	1.602
2014	II	1.226
2014	III	1.668
2014	II	1.158
2014	III	1.855
2014	II	1.184
2014	II	1.279
2014	II	1.115
2014	III	1.558
2014	II	1.021
2014	III	1.751
2014	I	0.86
2014	II	1.072
2014	II	1.26
2014	II	1.02
2014	III	2.869
2014	III	1.518
2014	III	1.724
2014	II	0.958
2014	III	1.543
2014	III	1.749
2014	II	1.034
2014	III	1.59
2014	II	1.237
2014	III	1.828
2014	III	1.531
2014	II	1.11
2014	III	2.297
2014	II	1.223
2014	III	1.719
2014	II	1.18
2014	II	1.185
2014	III	1.725
2014	II	1.06
2014	II	1.246
2014	II	1.291
2014	III	1.602
2014	III	1.566
2014	III	1.42
2014	II	1.08
2014	III	1.482
2014	II	1.326
2014	II	1.191
2014	II	1.205
2014	II	1.117
2014	II	1.222
2014	II	1.097
2014	III	1.633
2014	II	1.263
2014	II	1.054
2014	III	1.867
2014	I	0.872
2014	III	1.529
2014	II	1.121
2014	II	1.109
2014	II	1.198
2014	II	0.956
2014	III	1.754
2014	III	1.746
2014	III	1.743
2014	III	1.597
2014	II	1.092
2014	II	1.125
2014	III	1.747
2014	III	1.809
2014	III	1.661
2014	II	1.062
2014	III	1.749
2014	II	1.118
2014	III	1.942
2014	III	2.004
2014	II	1.025
2014	II	1.206
2014	II	1.027
2014	II	1.242
2014	II	1.245
2014	III	1.648
2014	III	1.892
2014	I	0.893
2014	II	1.162
2014	III	1.479
2014	II	1.03
2014	III	1.848
2014	I	0.841
2014	I	0.965
2014	II	1.092
2014	II	1.141
2014	III	1.925
2014	III	1.668
2014	III	1.852
2014	II	1.202
2014	III	1.834
2014	III	1.516
2014	III	1.423
2014	III	1.515
2014	III	1.812
2014	II	1.046
2014	III	1.513
2014	III	1.62
2014	II	1.108
2014	II	1.12
2014	II	1.165
2014	II	1.256
2014	II	1.068
2014	II	1.109
2014	II	1.146
2014	III	1.617
2014	I	0.802
2014	II	1.125
2014	III	1.82
2014	III	1.652
2014	II	1.13
2014	III	1.597
2014	III	1.724
2014	III	1.867
2014	II	1.221
2014	I	0.845
2014	III	1.868
2014	III	1.731
2014	III	1.527
2014	III	1.776
2014	II	1.294
2014	I	0.87
2014	III	1.691
2014	II	1.138
2014	II	1.139
2014	II	1.056
2014	III	1.69
2014	I	0.968
2014	I	0.921
2014	II	1.151
2014	II	1.087
2014	II	1.17
2014	II	1.128
2014	II	1.114
2014	II	1.083
2014	III	1.964
2014	III	1.639
2014	III	2.34
2014	III	2.185
2014	III	2.145
2014	III	2.044
2014	III	1.902
2014	III	1.863
2014	III	1.704
2014	II	1.339
2014	III	1.862
2014	III	1.838
2014	III	1.655
2014	III	1.654
2014	III	1.563
2014	III	1.933
2014	III	1.503
2014	III	1.725
2014	II	1.203
2014	II	1.233
2014	III	2.193
2014	III	1.872
2014	III	1.999
2014	III	2.153
2014	III	1.803
2014	III	1.836
2014	III	1.874
2014	III	2.084
2014	III	1.672
2014	III	1.821
2014	III	1.67
2014	III	1.575
2014	III	1.746
2014	III	1.682
2014	III	1.994
2014	III	1.506
2014	III	1.72
2014	III	1.866
2014	III	1.67
2014	III	1.663
2014	III	2.493
2014	III	1.738
2014	III	1.571
2014	III	1.938
2014	III	1.544
2014	III	1.66
2014	III	1.697
2014	II	1.183
2014	II	1.285
2014	II	1.32
2014	III	1.638
2014	III	1.584
2014	II	1.366
2014	II	1.243
2014	III	1.973
2014	III	1.626
2014	III	1.77
2014	III	2.086
2014	III	1.938
2014	III	1.608
2014	II	1.097
2014	III	1.719
2014	III	2.044
2014	III	1.713
2014	II	1.397
2014	II	1.255
2014	III	2.098
2014	II	1.279
2014	II	1.338
2014	II	1.282
2014	II	1.191
2014	III	1.717
2014	III	1.737
2014	II	1.227
2014	II	1.355
2014	II	1.13
2014	III	1.598
2014	III	2.177
2014	III	1.607
2014	III	1.915
2014	III	1.878
2014	III	1.776
2014	III	1.607
2014	III	1.631
2014	III	1.649
2014	III	1.553
2014	III	1.782
2014	II	1.109
2014	II	1.371
2014	III	1.85
2014	III	1.804
2014	II	1.132
2014	II	1.108
2014	III	1.636
2014	II	1.396
2014	II	1.164
2014	III	1.889
2014	III	1.567
2014	III	1.79
2014	III	2.026
2014	III	1.511
2014	III	1.799
2014	III	1.691
2014	III	1.626
2014	III	1.622
2014	III	1.675
2014	II	1.232
2014	II	1.138
2014	III	1.629
2014	III	1.745
2014	III	1.394
2014	III	1.796
2014	III	1.92
2014	III	1.493
2014	III	1.649
2014	III	1.573
2014	III	1.91
2014	III	1.615
2014	III	1.758
2014	II	1.337
2014	II	1.237
2014	II	1.282
2014	II	1.291
2014	II	1.276
2014	II	1.161
2014	II	1.336
2014	II	1.262
2014	II	1.225
2014	III	1.844
2014	III	1.987
2014	III	1.539
2014	III	1.639
2014	III	1.587
2014	III	1.809
2014	III	1.587
2014	III	1.686
2014	III	1.645
2014	III	1.114
2014	III	1.636
2014	III	1.87
2014	III	1.588
2014	III	1.75
2014	III	1.62
2014	III	1.662
2014	II	1.165
2014	II	1.333
2014	III	1.715
2014	III	1.666
2014	III	1.647
2014	III	1.603
2014	III	1.931
2014	III	1.576
2014	II	1.315
2014	II	1.386
2014	II	1.178
2014	III	1.986
2014	III	1.682
2014	III	1.911
2014	II	1.286
2014	III	1.804
2014	III	1.625
2014	II	1.237
2014	II	1.197
2014	II	1.282
2014	II	1.291
2014	II	1.276
2014	II	1.161
2014	II	1.398
2014	II	1.362
2014	III	1.539
2014	III	1.793
2014	II	1.128
2014	II	1.195
2014	II	1.288
2014	III	1.739
2014	III	2.15
2014	III	2.185
2014	III	1.845
2014	III	2.044
2014	III	1.902
2014	III	1.863
2014	III	1.704
